2026-07-20T14:50:02 | INFO     | executor | Starting run_id=R000015 test_id=T002 scenario_id=S002 attempt=4
2026-07-20T14:50:04 | WARNING  | experiment_runner | scenario=S002 run_no=1 attempt_no=4 returned 'crash'; will retry.
2026-07-20T14:50:14 | INFO     | experiment_runner | Executing scenario=S002 run_no=1 attempt_no=5 run_id=R000016
2026-07-20T14:50:14 | INFO     | executor | Starting run_id=R000016 test_id=T002 scenario_id=S002 attempt=5
2026-07-20T14:50:15 | WARNING  | experiment_runner | scenario=S002 run_no=1 attempt_no=5 returned 'crash'; will retry.
2026-07-20T14:50:25 | INFO     | experiment_runner | Executing scenario=S002 run_no=1 attempt_no=6 run_id=R000017
2026-07-20T14:50:25 | INFO     | executor | Starting run_id=R000017 test_id=T002 scenario_id=S002 attempt=6
2026-07-20T14:50:26 | WARNING  | experiment_runner | scenario=S002 run_no=1 attempt_no=6 returned 'crash'; will retry.
2026-07-20T14:50:36 | INFO     | experiment_runner | Executing scenario=S002 run_no=1 attempt_no=7 run_id=R000018
2026-07-20T14:50:36 | INFO     | executor | Starting run_id=R000018 test_id=T002 scenario_id=S002 attempt=7
2026-07-20T14:50:38 | WARNING  | experiment_runner | scenario=S002 run_no=1 attempt_no=7 returned 'crash'; will retry.
2026-07-20T14:50:48 | INFO     | experiment_runner | Executing scenario=S002 run_no=1 attempt_no=8 run_id=R000019
2026-07-20T14:50:48 | INFO     | executor | Starting run_id=R000019 test_id=T002 scenario_id=S002 attempt=8
2026-07-20T14:50:49 | WARNING  | experiment_runner | scenario=S002 run_no=1 attempt_no=8 returned 'crash'; will retry.
2026-07-20T14:50:59 | INFO     | experiment_runner | Executing scenario=S002 run_no=1 attempt_no=9 run_id=R000020
2026-07-20T14:50:59 | INFO     | executor | Starting run_id=R000020 test_id=T002 scenario_id=S002 attempt=9
2026-07-20T14:51:01 | WARNING  | experiment_runner | scenario=S002 run_no=1 attempt_no=9 returned 'crash'; will retry.
